url,name,phone number,website,contact name,zipcode,state,city,typical job costs,license number,address,review,project_count,description,category_page_url
https://www.houzz.com/pro/shawn6754/stirling-painting-and-renovations,Stirling painting & renovations,(610) 842-3571,,,,18014,Bath,,,Bath,3,,"Services Provided
Bathroom Remodeling, Kitchen Remodeling, Remodeling, Tile Installation
Areas Served
Lehigh Valley
",https://www.houzz.com/professionals/general-contractor/s/General-Contractors/c/Middletown%2C-PA/d/10
https://www.houzz.com/pro/martinodesigns/martino-designs-inc,"Martino Designs, Inc.",(610) 595-9173,http://martinodesignsinc.com,Eric Martino,,18049,Emmaus,,PA013230,212 N. 4th Street,6,7,"Martino Designs, Inc. is a professional design/build company based in Lehigh Valley. We specialize in custom basements, kitchens, bathrooms, trim work and more. We pride ourselves on providing our clients with best-in-class service and craftsmanship.
Our referrals speak for themselves!
Services Provided
Basement Remodeling, Bathroom Remodeling, Countertop Installation, Crown Molding Installation, Deck Building, Flooring Installation, General Contracting, Home Additions, Home Remodeling, Kitchen Remodeling, Porch Design & Construction, Siding Installation, Tile Installation, Window Installation, Custom Cabinets, Door Installation, Remodeling, Siding Repair & Installation
Areas Served
Alburtis, Allentown, Ancient Oaks, Bally, Bethlehem, Breinigsville, Catasauqua, Center Valley, Coopersburg, Coplay, Dorneyville, East Texas, Emmaus, Fogelsville, Fountain Hill, Freemansburg, Hellertown, Hereford, Lehigh Valley, Limeport, Macungie, Mertztown, North Catasauqua, Orefield, Schnecksville, Trexlertown, Wescosville, Whitehall, Whitehall Township, Zionsville
",https://www.houzz.com/professionals/general-contractor/s/General-Contractors/c/Middletown%2C-PA/d/10
https://www.houzz.com/pro/redremodeling36/red-remodeling-llc,"R.E.D. Remodeling, LLC",(484) 851-3318,https://red-remodeling.com/,,,18055,Hellertown,"$5,000 - 50,000",,Hellertown,,3,"R.E.D. Remodeling, LLC is a remodeling contractor serving the Bethlehem, PA area.
Services include Remodeling Contractor, Kitchen Remodeling, Bathroom Remodeling, Home Additions, Deck Building & Repairs, Basement Finishing, Drywall & Sheetrock, Painting, Flooring, Framing Carpenter, Remodel Design, Carpentry, Siding and Replacement Windows.
Services Provided
Aluminum Siding, Asphalt Shingle Roofing, Attic Restoration, Baseboard Installation, Basement Remodeling, Basement Waterproofing, Bathroom Remodeling, Brick Masonry, Concrete Flooring, Concrete Repair, Countertop Installation, Crown Molding Installation, Custom Homes, Deck Building, Deck Repair, Demolition, Drywall Installation, Drywall Texturing, Floor Leveling, Flooring Installation, Foundation Construction, Foundation Repair, Garage Building, General Contracting, Home Additions, Home Extensions, Home Remodeling, House Framing, Kitchen Remodeling, Laminate Flooring Installation, Lighting Installation, Linoleum Flooring Installation, Masonry, New Home Construction, Outdoor Kitchen Construction, Porch Design & Construction, Project Management, Radiant Floor Heating, Range Hood Installation, Shed Design & Construction, Shower Installation, Siding Installation, Site Preparation, Skylight Installation, Sliding Door Installation, Soffit Installation, Soffit Repair, Tile Installation, Vinyl Siding, Water Heater Installation
Areas Served
Ackermanville, Allentown, Alpha, Bath, Bethlehem, Catasauqua, Cementon, Center Valley, Coopersburg, Coplay, Easton, Emmaus, Finesville, Flicksville, Fountain Hill, Freemansburg, Fullerton, Glendon, Hanover Township, Hellertown, Hokendauqua, Kintnersville, Lehigh Valley, Middletown, North Catasauqua, Northampton, Old Orchard, Old Zionsville, Ottsville, Palmer Heights, Phillipsburg, Quakertown, Raubsville, Richlandtown, Riegelsville, Spinnerstown, Stiles, West Easton, Whitehall, Whitehall Township, Wilson, ____Hanover Township, Metuchen
",https://www.houzz.com/professionals/general-contractor/c/Middletown--PA/d/10/p/15
https://www.houzz.com/pro/joethehandyman17/your-handyman-and-construction,Your Handyman & Construction,(610) 703-6933,,Joe Schmidt,,18037,Coplay,,,Coplay,1,,,https://www.houzz.com/professionals/general-contractor/c/Middletown--PA/d/10/p/15
https://www.houzz.com/pro/ckdesigns64/creation-construction,Creation Construction,(610) 554-8363,,,,18037,Coplay,,,Coplay,,2,"We are a Lehigh Valley- based company specializing in anything you need for your home improvements.
Services Provided
Specializing in Home Improvements, Indoor and Outdoor,
Custom Decks, Brick Patios, Outdoor Entertainment Areas, Additions, Gazebos and More!
Areas Served
Lehigh and Northampton Counties
",https://www.houzz.com/professionals/general-contractor/c/Middletown--PA/d/10/p/30
https://www.houzz.com/pro2/kinslowswindows/kinslows-windows,Kinslow's Windows,(610) 866-4677,http://www.kinslows.com,"Merle Kinslow, Owner",,18018,Bethlehem,,,1316 Easton Ave,3,,"Is this your business?
With a free Houzz profile, you can:
",https://www.houzz.com/professionals/general-contractor/c/Middletown--PA/d/10/p/45
https://www.houzz.com/pro/manieri20/inside-out-general-contracting,Inside Out General Contracting,(610) 360-1370,,,,18042,"Easton, PA",,,"Easton, PA",,,"Services Provided
Bathroom Remodeling, Flooring Installation, General Contracting, Home Additions, Home Remodeling, Kitchen Remodeling, Roof Repair, Siding Installation, Tile Installation, Window Installation, Wood Floor Installation
Areas Served
Easton
",https://www.houzz.com/professionals/general-contractor/c/Middletown--PA/d/10/p/60
https://www.houzz.com/pro/jdhandymen/j-and-d-handymen-llp,"J & D Handymen, LLP",(484) 821-6114,http://jdhandymenllp.com,John Shuey,,18055,Easton,,PA029666,102 Moor Dr,,,"With over 20 years of construction experience, we here at J & D handymen strive to bring high quality services at a budget friendly price.  ""We Can Do It""
Services Provided
Most phases of construction.  Specializing in interior trim and decks.  We also do kitchen/bath remodels, basement finishing, custom sheds, siding, roofing, tile, built-ins, etc.
Areas Served
The entire Lehigh Valley.
Certifications and Awards
A+ Rating with the Better Business Bureau for 7 years.
Member of the Handyman Association of America
Member of the Metropolitan Area Who's Who
",https://www.houzz.com/professionals/general-contractor/c/Middletown--PA/d/10/p/75
https://www.houzz.com/pro/dngsiteman235/310-pro-contracting,310 Pro Contracting,(908) 300-7955,,Greg Morello,,18042,Easton,,PA125010,Easton,,,"Services Provided
Aluminum Siding, Barn Design & Construction, Basement Remodeling, General Contracting, Home Remodeling
Areas Served
Bethlehem, Easton, Frenchtown, Hellertown, Kintnersville, Nazareth, Old Orchard, Palmer Heights, Raubsville, Riegelsville
",https://www.houzz.com/professionals/general-contractor/c/Middletown--PA/d/10/p/90
https://www.houzz.com/pro/finelineremodelingco/fine-line-remodeling-llc,Fine line remodeling l.l.c,(610) 504-1129,,jeffrey schnettler,,08865,Phillipsburg,,,502 s.main st,,,,https://www.houzz.com/professionals/general-contractor/c/Middletown--PA/d/10/p/105
